,acousticness,danceability,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
22,0.00503,0.645,0.663,8,0.228,5.678,0,0.0273,123.001,4,0.58
23,0.00292,0.66,0.783,1,0.0934,4.513,0,0.0712,124.999,4,0.1
24,0.0454,0.433,0.0,10,0.181,4.843,1,0.0386,74.981,4,0.208
0,0.189,0.814,0.0,3,0.0876,0.02,0,0.0359,130.099,4,0.706
1,0.0133,0.532,2.91e-06,11,0.226,6.499,0,0.117,76.792,5,0.249
2,0.354,0.674,0.0,7,0.115,4.63,1,0.287,163.896,4,0.874
3,0.0711,0.599,0.0,4,0.0816,2.578,1,0.0641,87.838,5,0.725
4,0.812,0.685,0.0019,11,0.21,3.536,0,0.149,122.599,4,0.389
5,0.214,0.923,0.0,0,0.165,2.817,1,0.179,129.944,4,0.585
6,0.126,0.687,0.00839,10,0.0906,3.013,0,0.0983,179.991,4,0.706
7,0.826,0.957,0.0205,10,0.179,5.353,0,0.0856,132.01,4,0.556
8,0.327,0.751,3.54e-05,4,0.18,4.703,0,0.0497,95.054,4,0.797
9,0.488,0.675,0.0,1,0.073,5.197,0,0.0792,129.979,4,0.817
10,0.00579,0.855,0.0,6,0.101,5.303,1,0.345,160.088,4,0.699
11,0.468,0.91,7.63e-05,11,0.055,2.294,0,0.0565,95.008,4,0.793
12,0.0506,0.606,0.0,1,0.0938,2.431,0,0.53,172.335,5,0.614
13,0.177,0.895,0.000196,1,0.0706,1.214,1,0.0645,129.969,4,0.782
14,0.0676,0.714,0.0,1,0.376,6.804,1,0.508,130.026,4,0.695
15,0.141,0.625,0.0,11,0.301,4.36,1,0.174,129.844,4,0.789
16,0.176,0.853,0.0,11,0.0654,3.075,1,0.123,99.71,4,0.751
17,0.291,0.636,0.000637,5,0.176,2.504,0,0.245,86.76,3,0.643
18,0.104,0.766,0.0,6,0.0796,2.887,1,0.127,89.988,4,0.367
19,0.0192,0.918,3.36e-06,0,0.0637,0.04,0,0.0812,132.076,4,0.839
20,0.0116,0.965,0.000518,9,0.0568,1.151,0,0.0666,133.095,4,0.923
21,0.0799,0.931,2.6e-05,2,0.101,3.39,1,0.0701,129.933,4,0.0966
22,0.396,0.639,0.0051,0,0.236,6.48,1,0.332,86.534,5,0.655
23,0.127,0.879,0.0,7,0.0656,2.122,1,0.143,160.047,4,0.848
24,0.0505,0.835,0.0,2,0.213,4.239,1,0.0433,129.899,4,0.571
0,0.189,0.814,0.0,3,0.0876,0.02,0,0.0359,130.099,4,0.706
1,0.0255,0.553,0.000101,8,0.125,0.355,1,0.0673,86.559,5,0.608
2,0.318,0.876,0.0,11,0.101,2.548,1,0.193,86.588,3,0.75
3,0.812,0.685,0.0019,11,0.21,3.536,0,0.149,122.599,4,0.389
4,0.488,0.675,0.0,1,0.073,5.197,0,0.0792,129.979,4,0.817
5,0.112,0.909,0.0,11,0.0409,4.541,1,0.0874,129.839,4,0.664
6,0.127,0.879,0.0,7,0.0656,2.122,1,0.143,160.047,4,0.848
7,0.0452,0.909,2.07e-06,11,0.121,5.138,0,0.0506,132.037,4,0.943
8,0.223,0.811,0.0,11,0.196,5.209,0,0.0553,128.031,4,0.44
9,0.483,0.674,0.0,8,0.161,0.111,1,0.131,129.867,4,0.633
10,0.00653,0.879,9.03e-06,1,0.143,3.194,1,0.181,160.018,4,0.802
11,0.581,0.65,1.98e-06,6,0.12,1.934,0,0.155,117.404,4,0.79
12,0.126,0.687,0.00839,10,0.0906,3.013,0,0.0983,179.991,4,0.706
13,0.23,0.931,0.0218,4,0.352,6.453,0,0.0579,117.964,4,0.798
