,0,song_title,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
30,"{'danceability': 0.376, 'energy': 0.937, 'key': 7, 'loudness': -2.653, 'mode': 1, 'speechiness': 0.0757, 'acousticness': 0.000848, 'instrumentalness': 0, 'liveness': 0.14, 'valence': 0.488, 'tempo': 154.014, 'type': 'audio_features', 'id': '1NZvRXp6skvKEXs1dV7sZS', 'uri': 'spotify:track:1NZvRXp6skvKEXs1dV7sZS', 'track_href': 'https://api.spotify.com/v1/tracks/1NZvRXp6skvKEXs1dV7sZS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1NZvRXp6skvKEXs1dV7sZS', 'duration_ms': 230482, 'time_signature': 4}",Pulling Leaves off Trees,Wallows,,,,,,,,,,,,,,,,,,
31,"{'danceability': 0.333, 'energy': 0.941, 'key': 0, 'loudness': -4.6, 'mode': 1, 'speechiness': 0.0635, 'acousticness': 0.0288, 'instrumentalness': 3.18e-06, 'liveness': 0.38, 'valence': 0.883, 'tempo': 176.542, 'type': 'audio_features', 'id': '69MXFthbHc2Q32SiwgCs3Y', 'uri': 'spotify:track:69MXFthbHc2Q32SiwgCs3Y', 'track_href': 'https://api.spotify.com/v1/tracks/69MXFthbHc2Q32SiwgCs3Y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/69MXFthbHc2Q32SiwgCs3Y', 'duration_ms': 119733, 'time_signature': 4}",I Don't Trust a Word You Say,Buster Shuffle,,,,,,,,,,,,,,,,,,
32,"{'danceability': 0.394, 'energy': 0.961, 'key': 1, 'loudness': -3.733, 'mode': 1, 'speechiness': 0.0438, 'acousticness': 5.22e-05, 'instrumentalness': 0.000131, 'liveness': 0.101, 'valence': 0.842, 'tempo': 175.991, 'type': 'audio_features', 'id': '53oEpGga4UriwcOKc35LpM', 'uri': 'spotify:track:53oEpGga4UriwcOKc35LpM', 'track_href': 'https://api.spotify.com/v1/tracks/53oEpGga4UriwcOKc35LpM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/53oEpGga4UriwcOKc35LpM', 'duration_ms': 156248, 'time_signature': 4}",Back in the USA,Green Day,,,,,,,,,,,,,,,,,,
33,"{'danceability': 0.555, 'energy': 0.931, 'key': 7, 'loudness': -3.197, 'mode': 1, 'speechiness': 0.0457, 'acousticness': 0.00128, 'instrumentalness': 0, 'liveness': 0.283, 'valence': 0.401, 'tempo': 99.992, 'type': 'audio_features', 'id': '1UnpGQbe2SDnAtr6vAYI4K', 'uri': 'spotify:track:1UnpGQbe2SDnAtr6vAYI4K', 'track_href': 'https://api.spotify.com/v1/tracks/1UnpGQbe2SDnAtr6vAYI4K', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1UnpGQbe2SDnAtr6vAYI4K', 'duration_ms': 212893, 'time_signature': 4}",Get By,Real Friends,,,,,,,,,,,,,,,,,,
34,"{'danceability': 0.284, 'energy': 0.99, 'key': 6, 'loudness': -2.994, 'mode': 0, 'speechiness': 0.0944, 'acousticness': 0.000382, 'instrumentalness': 0, 'liveness': 0.323, 'valence': 0.209, 'tempo': 172.149, 'type': 'audio_features', 'id': '7oW9MZKFKVHly77TcULLRM', 'uri': 'spotify:track:7oW9MZKFKVHly77TcULLRM', 'track_href': 'https://api.spotify.com/v1/tracks/7oW9MZKFKVHly77TcULLRM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7oW9MZKFKVHly77TcULLRM', 'duration_ms': 130920, 'time_signature': 4}",Lillian,Milk Teeth,,,,,,,,,,,,,,,,,,
35,"{'danceability': 0.402, 'energy': 0.974, 'key': 11, 'loudness': -5.002, 'mode': 1, 'speechiness': 0.272, 'acousticness': 0.00479, 'instrumentalness': 0, 'liveness': 0.145, 'valence': 0.468, 'tempo': 178.025, 'type': 'audio_features', 'id': '1VTv4A3PYeSYT4VjHGzvd4', 'uri': 'spotify:track:1VTv4A3PYeSYT4VjHGzvd4', 'track_href': 'https://api.spotify.com/v1/tracks/1VTv4A3PYeSYT4VjHGzvd4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1VTv4A3PYeSYT4VjHGzvd4', 'duration_ms': 183729, 'time_signature': 4}",Sorry,You Vandal,,,,,,,,,,,,,,,,,,
36,"{'danceability': 0.537, 'energy': 0.94, 'key': 4, 'loudness': -7.121, 'mode': 1, 'speechiness': 0.0919, 'acousticness': 0.0267, 'instrumentalness': 0.00233, 'liveness': 0.281, 'valence': 0.705, 'tempo': 91.977, 'type': 'audio_features', 'id': '3KorHDM4DZdSs0CIw7up80', 'uri': 'spotify:track:3KorHDM4DZdSs0CIw7up80', 'track_href': 'https://api.spotify.com/v1/tracks/3KorHDM4DZdSs0CIw7up80', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3KorHDM4DZdSs0CIw7up80', 'duration_ms': 198624, 'time_signature': 4}",A Rough Guide to the Future,Jaya The Cat,,,,,,,,,,,,,,,,,,
37,"{'danceability': 0.359, 'energy': 0.971, 'key': 11, 'loudness': -3.636, 'mode': 0, 'speechiness': 0.193, 'acousticness': 0.000243, 'instrumentalness': 0.0196, 'liveness': 0.186, 'valence': 0.265, 'tempo': 137.855, 'type': 'audio_features', 'id': '4gPHgYFXqpxMwJlRnFZpEA', 'uri': 'spotify:track:4gPHgYFXqpxMwJlRnFZpEA', 'track_href': 'https://api.spotify.com/v1/tracks/4gPHgYFXqpxMwJlRnFZpEA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4gPHgYFXqpxMwJlRnFZpEA', 'duration_ms': 122400, 'time_signature': 4}",No News,GBH,,,,,,,,,,,,,,,,,,
38,"{'danceability': 0.426, 'energy': 0.886, 'key': 11, 'loudness': -4.529, 'mode': 0, 'speechiness': 0.0416, 'acousticness': 0.000128, 'instrumentalness': 1.24e-05, 'liveness': 0.079, 'valence': 0.574, 'tempo': 131.949, 'type': 'audio_features', 'id': '13adZXD5qXvZk0OtN6WUEy', 'uri': 'spotify:track:13adZXD5qXvZk0OtN6WUEy', 'track_href': 'https://api.spotify.com/v1/tracks/13adZXD5qXvZk0OtN6WUEy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/13adZXD5qXvZk0OtN6WUEy', 'duration_ms': 214578, 'time_signature': 4}",One Rizla,Shame,,,,,,,,,,,,,,,,,,
39,"{'danceability': 0.217, 'energy': 0.681, 'key': 11, 'loudness': -12.725, 'mode': 1, 'speechiness': 0.0509, 'acousticness': 0.0244, 'instrumentalness': 0.155, 'liveness': 0.111, 'valence': 0.245, 'tempo': 146.654, 'type': 'audio_features', 'id': '4WR5NTbscXE6rXqPX3sF1l', 'uri': 'spotify:track:4WR5NTbscXE6rXqPX3sF1l', 'track_href': 'https://api.spotify.com/v1/tracks/4WR5NTbscXE6rXqPX3sF1l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4WR5NTbscXE6rXqPX3sF1l', 'duration_ms': 176043, 'time_signature': 4}",Fucked up World,The Adicts,,,,,,,,,,,,,,,,,,
