,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal
2,0.171,https://api.spotify.com/v1/audio-analysis/55nz8L0oYRBZnycFOlAKpS,0.585,205921,0.611,55nz8L0oYRBZnycFOlAKpS,0.0,6,0.15,10.648,0,0.75,79.938,4,https://api.spotify.com/v1/tracks/55nz8L0oYRBZnycFOlAKpS,audio_features,spotify:track:55nz8L0oYRBZnycFOlAKpS,0.627,Jazz Records,Coruja Bc1,0,0,0,1,0,0
3,0.0504,https://api.spotify.com/v1/audio-analysis/3jeSF0bZwlodupw1Ejcie8,0.713,163845,0.447,3jeSF0bZwlodupw1Ejcie8,0.0,10,0.26,12.733,0,0.589,83.735,4,https://api.spotify.com/v1/tracks/3jeSF0bZwlodupw1Ejcie8,audio_features,spotify:track:3jeSF0bZwlodupw1Ejcie8,0.516,NDDN,Coruja Bc1,0,0,0,1,0,0
4,0.152,https://api.spotify.com/v1/audio-analysis/0TT8aG97r8VXjq3NxeyTb1,0.638,242347,0.51,0TT8aG97r8VXjq3NxeyTb1,0.0,8,0.14,9.402,0,0.255,89.935,4,https://api.spotify.com/v1/tracks/0TT8aG97r8VXjq3NxeyTb1,audio_features,spotify:track:0TT8aG97r8VXjq3NxeyTb1,0.412,Não Chore,Pineapple StormTv,0,0,0,1,0,0
5,0.261,https://api.spotify.com/v1/audio-analysis/0ujq1znOP5bqMdy8tRQqKA,0.793,210732,0.673,0ujq1znOP5bqMdy8tRQqKA,0.0,11,0.643,7.465,0,0.301,123.022,4,https://api.spotify.com/v1/tracks/0ujq1znOP5bqMdy8tRQqKA,audio_features,spotify:track:0ujq1znOP5bqMdy8tRQqKA,0.647,Tudo Que Você Quiser,CortesiaDaCasa,0,0,0,1,0,0
6,0.129,https://api.spotify.com/v1/audio-analysis/6D1K3ESCGyi2SQniaRXgOC,0.827,206264,0.44,6D1K3ESCGyi2SQniaRXgOC,2.82e-06,9,0.0936,9.111,0,0.0579,127.976,4,https://api.spotify.com/v1/tracks/6D1K3ESCGyi2SQniaRXgOC,audio_features,spotify:track:6D1K3ESCGyi2SQniaRXgOC,0.343,Fala Comigo Bebê,Dan Lellis,0,0,0,1,0,0
7,0.24,https://api.spotify.com/v1/audio-analysis/396JmPqCkCdV5d65WWtUBX,0.678,203884,0.697,396JmPqCkCdV5d65WWtUBX,0.0,8,0.107,7.628,1,0.0572,93.489,4,https://api.spotify.com/v1/tracks/396JmPqCkCdV5d65WWtUBX,audio_features,spotify:track:396JmPqCkCdV5d65WWtUBX,0.22,Dioclin,Menestrel,0,0,0,1,0,0
8,0.00953,https://api.spotify.com/v1/audio-analysis/2GNd07ms0NyZo9G8vQ3jhe,0.724,205000,0.602,2GNd07ms0NyZo9G8vQ3jhe,2.81e-06,2,0.0986,11.502,1,0.241,143.971,4,https://api.spotify.com/v1/tracks/2GNd07ms0NyZo9G8vQ3jhe,audio_features,spotify:track:2GNd07ms0NyZo9G8vQ3jhe,0.406,Fé pra Tudo Que É Lado,Gustavo Treze,0,0,0,1,0,0
9,0.308,https://api.spotify.com/v1/audio-analysis/48CHIeTuzpxdv7l0NUDLNx,0.66,188185,0.447,48CHIeTuzpxdv7l0NUDLNx,0.0413,0,0.0765,10.303,1,0.304,174.086,4,https://api.spotify.com/v1/tracks/48CHIeTuzpxdv7l0NUDLNx,audio_features,spotify:track:48CHIeTuzpxdv7l0NUDLNx,0.475,Eu To Afim,Pablo Morais,0,0,0,1,0,0
10,0.727,https://api.spotify.com/v1/audio-analysis/1nYDPi4jNtUMSbr8fJCoQd,0.924,193478,0.433,1nYDPi4jNtUMSbr8fJCoQd,0.0,7,0.105,10.204,1,0.0687,137.935,4,https://api.spotify.com/v1/tracks/1nYDPi4jNtUMSbr8fJCoQd,audio_features,spotify:track:1nYDPi4jNtUMSbr8fJCoQd,0.582,Open Bar,Dan Lellis,0,0,0,1,0,0
11,0.0583,https://api.spotify.com/v1/audio-analysis/3JRO5p7hYPVdlx9rqjLyz2,0.549,162857,0.897,3JRO5p7hYPVdlx9rqjLyz2,0.0,1,0.104,5.057,0,0.318,97.241,4,https://api.spotify.com/v1/tracks/3JRO5p7hYPVdlx9rqjLyz2,audio_features,spotify:track:3JRO5p7hYPVdlx9rqjLyz2,0.547,Acabou pra Você,Medrado,0,0,0,1,0,0
