,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
21,0.284,https://api.spotify.com/v1/audio-analysis/5kXJVyFqJdAv6XzjFeKqv7,0.617,179973,0.54,5kXJVyFqJdAv6XzjFeKqv7,0.0,3,0.511,-13.494,1,0.0462,127.497,3,https://api.spotify.com/v1/tracks/5kXJVyFqJdAv6XzjFeKqv7,audio_features,spotify:track:5kXJVyFqJdAv6XzjFeKqv7,0.86,I'm A Man - Single Version,Bo Diddley
22,0.944,https://api.spotify.com/v1/audio-analysis/5ZUxxja3WzBZUFF6P9M9HN,0.581,206800,0.333,5ZUxxja3WzBZUFF6P9M9HN,0.472,0,0.332,-14.209,1,0.032,94.197,3,https://api.spotify.com/v1/tracks/5ZUxxja3WzBZUFF6P9M9HN,audio_features,spotify:track:5ZUxxja3WzBZUFF6P9M9HN,0.488,Someday (Electric),Otis Spann
23,0.545,https://api.spotify.com/v1/audio-analysis/1i7nQGgwloILcp6ZftH2Qa,0.606,183027,0.301,1i7nQGgwloILcp6ZftH2Qa,0.00194,0,0.0419,-11.402,1,0.0423,100.979,4,https://api.spotify.com/v1/tracks/1i7nQGgwloILcp6ZftH2Qa,audio_features,spotify:track:1i7nQGgwloILcp6ZftH2Qa,0.457,Call It Stormy Monday,T-Bone Walker
24,0.0226,https://api.spotify.com/v1/audio-analysis/1cRTAPP2FG9h2WiYMOIVIK,0.294,166400,0.611,1cRTAPP2FG9h2WiYMOIVIK,0.435,2,0.114,-6.268,1,0.0348,178.191,3,https://api.spotify.com/v1/tracks/1cRTAPP2FG9h2WiYMOIVIK,audio_features,spotify:track:1cRTAPP2FG9h2WiYMOIVIK,0.567,The Sky Is Crying,Elmore James
0,0.687,https://api.spotify.com/v1/audio-analysis/1oFxUEfggP19VJZ8LReLd5,0.668,156760,0.852,1oFxUEfggP19VJZ8LReLd5,3.14e-06,7,0.256,-6.085,1,0.0973,114.972,4,https://api.spotify.com/v1/tracks/1oFxUEfggP19VJZ8LReLd5,audio_features,spotify:track:1oFxUEfggP19VJZ8LReLd5,0.701,Don't Start Me To Talkin',Sonny Boy Williamson II
1,0.849,https://api.spotify.com/v1/audio-analysis/2NkAoxQOr6MGdMB5JDTU81,0.479,143440,0.506,2NkAoxQOr6MGdMB5JDTU81,2.69e-05,11,0.25,-8.175,1,0.0272,136.662,3,https://api.spotify.com/v1/tracks/2NkAoxQOr6MGdMB5JDTU81,audio_features,spotify:track:2NkAoxQOr6MGdMB5JDTU81,0.83,Blueberry Hill - 2002 Digital Remaster,Fats Domino
2,0.671,https://api.spotify.com/v1/audio-analysis/1X8wGgJU6mMwJoK8Peg8Ku,0.32,186667,0.455,1X8wGgJU6mMwJoK8Peg8Ku,0.0,6,0.13,-6.859,0,0.0309,65.696,4,https://api.spotify.com/v1/tracks/1X8wGgJU6mMwJoK8Peg8Ku,audio_features,spotify:track:1X8wGgJU6mMwJoK8Peg8Ku,0.534,Black Night,Charles Brown
3,0.0925,https://api.spotify.com/v1/audio-analysis/1WFSqMWof7k1IbL9lYNW5z,0.527,130293,0.715,1WFSqMWof7k1IbL9lYNW5z,0.0,4,0.141,-7.719,1,0.0317,131.392,3,https://api.spotify.com/v1/tracks/1WFSqMWof7k1IbL9lYNW5z,audio_features,spotify:track:1WFSqMWof7k1IbL9lYNW5z,0.946,Crazy Blues,The Big Bopper
4,0.791,https://api.spotify.com/v1/audio-analysis/4qrrz2Pd8hMpPyIKSscyNs,0.774,166533,0.442,4qrrz2Pd8hMpPyIKSscyNs,0.000747,9,0.0834,-8.728,1,0.0308,78.099,4,https://api.spotify.com/v1/tracks/4qrrz2Pd8hMpPyIKSscyNs,audio_features,spotify:track:4qrrz2Pd8hMpPyIKSscyNs,0.885,Big Boss Man,Jimmy Reed
5,0.652,https://api.spotify.com/v1/audio-analysis/5aB8efdCLVM1ojqd3gVlBA,0.374,144760,0.865,5aB8efdCLVM1ojqd3gVlBA,0.0,2,0.508,-6.803,1,0.0557,93.473,4,https://api.spotify.com/v1/tracks/5aB8efdCLVM1ojqd3gVlBA,audio_features,spotify:track:5aB8efdCLVM1ojqd3gVlBA,0.798,Wang Dang Doodle,Howlin' Wolf
6,0.816,https://api.spotify.com/v1/audio-analysis/5r5wC8BtwOaYNjM3TMSjIv,0.464,244653,0.288,5r5wC8BtwOaYNjM3TMSjIv,2.15e-05,9,0.121,-11.002,1,0.0325,184.121,3,https://api.spotify.com/v1/tracks/5r5wC8BtwOaYNjM3TMSjIv,audio_features,spotify:track:5r5wC8BtwOaYNjM3TMSjIv,0.463,Driftin’ Blues,Charles Brown
7,0.833,https://api.spotify.com/v1/audio-analysis/13D9sIKqxjfZdzW07CQbnE,0.708,127560,0.213,13D9sIKqxjfZdzW07CQbnE,3.81e-06,4,0.117,-11.896,1,0.0622,93.483,4,https://api.spotify.com/v1/tracks/13D9sIKqxjfZdzW07CQbnE,audio_features,spotify:track:13D9sIKqxjfZdzW07CQbnE,0.743,Heartbreak Hotel,Elvis Presley
