,Unnamed: 0,acousticness,analysis_url,artist,danceability,duration_ms,eletronica,energy,funk,id,instrumentalness,key,liveness,loudness,metal,mode,rap,rock,sertanejo,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
25,,0.265,https://api.spotify.com/v1/audio-analysis/4MFJja8C5DQGWstBew2BUC,Liu,0.686,182521,1,0.817,0,4MFJja8C5DQGWstBew2BUC,0.000186,2,0.415,6.035,0,1,0,0,0,Coastline,0.046,121.996,4,https://api.spotify.com/v1/tracks/4MFJja8C5DQGWstBew2BUC,audio_features,spotify:track:4MFJja8C5DQGWstBew2BUC,0.474
26,,0.113,https://api.spotify.com/v1/audio-analysis/71P1N0X76YtZMbBIGG47un,Alok,0.647,182147,1,0.713,0,71P1N0X76YtZMbBIGG47un,0.00703,4,0.146,5.874,0,1,0,0,0,Big Jet Plane,0.0256,124.982,4,https://api.spotify.com/v1/tracks/71P1N0X76YtZMbBIGG47un,audio_features,spotify:track:71P1N0X76YtZMbBIGG47un,0.277
27,,0.00393,https://api.spotify.com/v1/audio-analysis/5YzaostcCu9Sgp5T7bFuX3,The Blaze,0.63,203693,1,0.554,0,5YzaostcCu9Sgp5T7bFuX3,0.829,9,0.145,9.675,0,0,0,0,0,Juvenile,0.0256,127.013,4,https://api.spotify.com/v1/tracks/5YzaostcCu9Sgp5T7bFuX3,audio_features,spotify:track:5YzaostcCu9Sgp5T7bFuX3,0.119
28,,0.525,https://api.spotify.com/v1/audio-analysis/6V2AHCTqyVsN4c9R3X3BWj,Autograf,0.735,205200,1,0.718,0,6V2AHCTqyVsN4c9R3X3BWj,0.000431,3,0.381,4.797,0,0,0,0,0,Sleepless In NYC,0.0905,99.954,4,https://api.spotify.com/v1/tracks/6V2AHCTqyVsN4c9R3X3BWj,audio_features,spotify:track:6V2AHCTqyVsN4c9R3X3BWj,0.612
29,,0.152,https://api.spotify.com/v1/audio-analysis/0Zbbxnx4SGGHoIow4PpISP,Kygo,0.677,236853,1,0.497,0,0Zbbxnx4SGGHoIow4PpISP,0.0,5,0.0911,5.763,0,1,0,0,0,Stargazing,0.0809,99.137,4,https://api.spotify.com/v1/tracks/0Zbbxnx4SGGHoIow4PpISP,audio_features,spotify:track:0Zbbxnx4SGGHoIow4PpISP,0.419
30,,0.00271,https://api.spotify.com/v1/audio-analysis/4XmeDoWEMBG6Km2Ts6brCt,Vintage Culture,0.652,191024,1,0.94,0,4XmeDoWEMBG6Km2Ts6brCt,9.77e-06,11,0.183,3.837,0,0,0,0,0,Monday,0.0377,124.029,4,https://api.spotify.com/v1/tracks/4XmeDoWEMBG6Km2Ts6brCt,audio_features,spotify:track:4XmeDoWEMBG6Km2Ts6brCt,0.886
31,,0.00347,https://api.spotify.com/v1/audio-analysis/5TY4l2xPjXDcRhG1cmZDK7,Dimmi,0.77,179027,1,0.644,0,5TY4l2xPjXDcRhG1cmZDK7,0.000519,7,0.188,5.151,0,1,0,0,0,Found U,0.0408,122.008,4,https://api.spotify.com/v1/tracks/5TY4l2xPjXDcRhG1cmZDK7,audio_features,spotify:track:5TY4l2xPjXDcRhG1cmZDK7,0.522
32,,0.00226,https://api.spotify.com/v1/audio-analysis/1pgWrCu36Rd221g0u4GTWo,Klaas,0.573,178064,1,0.866,0,1pgWrCu36Rd221g0u4GTWo,0.000326,8,0.0748,7.119,0,1,0,0,0,Together - Chris Gold Edit,0.0656,123.955,4,https://api.spotify.com/v1/tracks/1pgWrCu36Rd221g0u4GTWo,audio_features,spotify:track:1pgWrCu36Rd221g0u4GTWo,0.226
33,,0.635,https://api.spotify.com/v1/audio-analysis/7L7aloQvEIcgpX7PJbUgUL,Purple Haze,0.699,235349,1,0.812,0,7L7aloQvEIcgpX7PJbUgUL,0.00142,7,0.383,3.413,0,0,0,0,0,Choir 1.0,0.0525,129.018,4,https://api.spotify.com/v1/tracks/7L7aloQvEIcgpX7PJbUgUL,audio_features,spotify:track:7L7aloQvEIcgpX7PJbUgUL,0.234
34,,0.178,https://api.spotify.com/v1/audio-analysis/0q7oMII7kWTj1ZSX6GT6LU,Illenium,0.376,242012,1,0.723,0,0q7oMII7kWTj1ZSX6GT6LU,0.0,7,0.0815,2.951,0,1,0,0,0,Crawl Outta Love,0.046,84.146,4,https://api.spotify.com/v1/tracks/0q7oMII7kWTj1ZSX6GT6LU,audio_features,spotify:track:0q7oMII7kWTj1ZSX6GT6LU,0.167
