,Unnamed: 0,Unnamed: 0.1,0,song_title,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,rock,rap,eletronica,funk,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
224,224,44,,"Serse: Aria ""Ombra mai fù"" (Atto I, scena 1)",George Frideric Handel,0.935,https://api.spotify.com/v1/audio-analysis/6WK6PgqSgVfeMZNiYUajdc,0.193,183333.0,0.095,6WK6PgqSgVfeMZNiYUajdc,0.277,4.0,0.109,-23.482,1.0,0.0468,107.44,4.0,https://api.spotify.com/v1/tracks/6WK6PgqSgVfeMZNiYUajdc,audio_features,spotify:track:6WK6PgqSgVfeMZNiYUajdc,0.0419,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
225,225,45,,"Symphony No. 5 in D Minor, Op. 47 (Remastered): I. Moderato",Dmitri Shostakovich,0.8490000000000001,https://api.spotify.com/v1/audio-analysis/0P0LAsqiavYc6V54JSeseB,0.155,979720.0,0.17600000000000002,0P0LAsqiavYc6V54JSeseB,0.818,9.0,0.123,-15.716,0.0,0.0374,84.962,4.0,https://api.spotify.com/v1/tracks/0P0LAsqiavYc6V54JSeseB,audio_features,spotify:track:0P0LAsqiavYc6V54JSeseB,0.0372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226,226,46,,Rhapsody in Blue,George Gershwin,0.963,https://api.spotify.com/v1/audio-analysis/78dv9BM2N8Ql0vrNE2Cv1I,0.341,946400.0,0.247,78dv9BM2N8Ql0vrNE2Cv1I,0.763,9.0,0.232,-16.986,1.0,0.0457,77.208,4.0,https://api.spotify.com/v1/tracks/78dv9BM2N8Ql0vrNE2Cv1I,audio_features,spotify:track:78dv9BM2N8Ql0vrNE2Cv1I,0.0994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
227,227,47,,"Symphony No.4 In E Minor, Op.98: 4. Allegro energico e passionato - Più allegro",Johannes Brahms,0.966,https://api.spotify.com/v1/audio-analysis/4y2jzFB3yiscA1wPLt1LsC,0.245,554000.0,0.13699999999999998,4y2jzFB3yiscA1wPLt1LsC,0.813,4.0,0.0998,-17.533,0.0,0.0379,139.998,3.0,https://api.spotify.com/v1/tracks/4y2jzFB3yiscA1wPLt1LsC,audio_features,spotify:track:4y2jzFB3yiscA1wPLt1LsC,0.066,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
228,228,48,,Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro,Johann Sebastian Bach,0.8290000000000001,https://api.spotify.com/v1/audio-analysis/3nxaPqAOxUxkLhIhbvmv4t,0.441,453507.0,0.319,3nxaPqAOxUxkLhIhbvmv4t,0.0,3.0,0.0765,-13.99,1.0,0.0392,99.419,4.0,https://api.spotify.com/v1/tracks/3nxaPqAOxUxkLhIhbvmv4t,audio_features,spotify:track:3nxaPqAOxUxkLhIhbvmv4t,0.6709999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
229,229,49,,"Nocturne No.1 in B flat minor, Op.9 No.1",Frédéric Chopin,0.982,https://api.spotify.com/v1/audio-analysis/1EGFCxKCQ3isMnlPzEW8G1,0.342,334053.0,0.0179,1EGFCxKCQ3isMnlPzEW8G1,0.906,1.0,0.0831,-24.846,1.0,0.0387,61.757,4.0,https://api.spotify.com/v1/tracks/1EGFCxKCQ3isMnlPzEW8G1,audio_features,spotify:track:1EGFCxKCQ3isMnlPzEW8G1,0.0382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,230,50,,Appalachian Spring: Doppio movimento,Aaron Copland,0.978,https://api.spotify.com/v1/audio-analysis/6vS8JCT9WqTFeAuu8smjRF,0.18600000000000005,183267.0,0.124,6vS8JCT9WqTFeAuu8smjRF,0.865,1.0,0.111,-15.271,1.0,0.0434,77.903,4.0,https://api.spotify.com/v1/tracks/6vS8JCT9WqTFeAuu8smjRF,audio_features,spotify:track:6vS8JCT9WqTFeAuu8smjRF,0.248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
231,231,51,,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Ludwig van Beethoven,0.995,https://api.spotify.com/v1/audio-analysis/2Y95aUjHiOtgL8A6t52Ynl,0.244,442600.0,0.0021,2Y95aUjHiOtgL8A6t52Ynl,0.86,1.0,0.161,-41.044,0.0,0.0417,64.36399999999999,4.0,https://api.spotify.com/v1/tracks/2Y95aUjHiOtgL8A6t52Ynl,audio_features,spotify:track:2Y95aUjHiOtgL8A6t52Ynl,0.187,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
232,232,52,,"Symphony No.5 in E flat, Op.82: 3. Allegro molto",Jean Sibelius,0.8909999999999999,https://api.spotify.com/v1/audio-analysis/7xGcLLeK1de0I71lH28DeM,0.14400000000000002,482000.0,0.0868,7xGcLLeK1de0I71lH28DeM,0.904,8.0,0.177,-23.338,1.0,0.0387,94.463,3.0,https://api.spotify.com/v1/tracks/7xGcLLeK1de0I71lH28DeM,audio_features,spotify:track:7xGcLLeK1de0I71lH28DeM,0.0737,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
233,233,53,,The People United Will Never Be Defeated! - 36 Variations on ¡El pueblo unido jamás será vencido!: Var. 36 - Improvisation,Frederic Rzewski,0.887,https://api.spotify.com/v1/audio-analysis/1MrelMgjfNmCTWbmUMin0R,0.35700000000000004,403493.0,0.00648,1MrelMgjfNmCTWbmUMin0R,0.6779999999999999,7.0,0.132,-25.234,0.0,0.0456,101.45,3.0,https://api.spotify.com/v1/tracks/1MrelMgjfNmCTWbmUMin0R,audio_features,spotify:track:1MrelMgjfNmCTWbmUMin0R,0.0925,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
